Species,Culture accession number(s),Host name or isolation source,Host Family,Country,Collector,ITS,TEF,ACT,CAL,HIS
Cercosporacf.flagellaris,CBS 132674; CPC 14723,Phytolacca americana,Phytolaccaceae,South Korea: Jeju,H.D. Shin,JX143606,JX143364,JX143118,JX142872,JX142626
Cercosporacf.flagellaris,CBS 143.51; CPC 5055,Bromussp.,Poaceae,–,M.D. Whitehead,JX143607,JX143365,JX143119,JX142873,JX142627
Cercosporacf.flagellaris,CPC 10124,Phytolacca americana,Phytolaccaceae,South Korea: Pocheon,H.D. Shin,JX143608,JX143366,JX143120,JX142874,JX142628
Cercosporacf.flagellaris,CPC 1051,Populus deltoides,Salicaceae,South Africa,P.W. Crous,AY260069,JX143367,JX143121,JX142875,JX142629
Cercosporacf.flagellaris,CPC 1052,Populus deltoides,Salicaceae,South Africa,P.W. Crous,JX143609,JX143368,JX143122,JX142876,JX142630
Cercosporacf.flagellaris,CPC 10684,Phytolacca americana,Phytolaccaceae,South Korea: Jinju,H.D. Shin,JX143610,JX143369,JX143123,JX142877,JX142631
Cercosporacf.flagellaris,CPC 4411; Q207 F5,Citrussp.,Rutaceae,South Africa: Messina,M.C. Pretorius,AY260071,DQ835098,DQ835118,DQ835145,DQ835172
Cercosporacf.flagellaris,CPC 5441,Amaranthussp.,Amaranthaceae,Fiji,C.F. Hill,JX143611,JX143370,JX143124,JX142878,JX142632
Cercosporacf.flagellaris,MUCC 127,Cosmos sulphureus,Asteraceae,Japan: Ehime,J. Nishikawa,JX143612,JX143371,JX143125,JX142879,JX142633
Cercosporacf.flagellaris,MUCC 735,Hydrangea serrata,Hydrangeaceae,Japan: Wakayama,C. Nakashima & I. Araki,JX143613,JX143372,JX143126,JX142880,JX142634
Cercosporacf.flagellaris,MUCC 831,Hydrangea serrata,Hydrangeaceae,Japan: Tokyo,I. Araki & M. Harada,JX143614,JX143373,JX143127,JX142881,JX142635
Cercosporacf.helianthicola,MUCC 716,Helianthus tuberosus,Asteraceae,Japan: Wakayama,C. Nakashima & I. Araki,JX143615,JX143374,JX143128,JX142882,JX142636
Cercosporacf.ipomoeae,CBS 132639; CPC 10102,Persicaria thunbergii,Polygonaceae,South Korea: Pocheon,H.D. Shin,JX143616,JX143375,JX143129,JX142883,JX142637
Cercosporacf.ipomoeae,CBS 132652; CPC 10833,Ipomoea nil(=I. hederacea),Convolvulaceae,South Korea: Chuncheon,H.D. Shin,JX143617,JX143376,JX143130,JX142884,JX142638
Cercosporacf.ipomoeae,MUCC 442,Ipomoea aquatica,Convolvulaceae,Japan: Kagawa,G. Kizaki,JX143618,JX143377,JX143131,JX142885,JX142639
Cercospora kikuchii,CBS 128.27; CPC 5068 (TYPE),Glycine soja,Fabaceae,Japan,T. Matsumoto,DQ835070,DQ835088,DQ835107,DQ835134,DQ835161
Cercospora kikuchii,CBS 132633; CPC 16578,Glycine max,Fabaceae,Argentina,–,JX143619,JX143378,JX143132,JX142886,JX142640
Cercospora kikuchii,CBS 135.28; CPC 5067,Glycine soja,Fabaceae,Japan,H.W. Wollenweber,DQ835071,DQ835089,DQ835108,DQ835135,DQ835162
Cercospora kikuchii,MUCC 590; MAFF 305040,Glycine soja,Fabaceae,Japan: Kagoshima,H. Kurata,JX143620,JX143379,JX143133,JX142887,JX142641
Cercospora lactucae-sativae,CBS 132604; CPC 10728,Ixeris chinensissubsp.strigosa(≡Ixeris strigosa),Asteraceae,South Korea: Chuncheon,H.D. Shin,JX143621,JX143380,JX143134,JX142888,JX142642
Cercospora lactucae-sativae,CPC 10082,Ixeris chinensis subsp. strigosa(≡Ixeris strigosa),Asteraceae,South Korea: Chuncheon,H.D. Shin,JX143622,JX143381,JX143135,JX142889,JX142643
Cercospora lactucae-sativae,MUCC 570; MUCN S463; MAFF 238209,Lactuca sativa,Asteraceae,Japan: Chiba,C. Nakashima,JX143623,JX143382,JX143136,JX142890,JX142644
Cercospora lactucae-sativae,MUCC 571; MUCNS 214; MAFF 237719,Lactuca sativa,Asteraceae,Japan: Chiba,S. Uematsu,JX143624,JX143383,JX143137,JX142891,JX142645
Cercosporacf.malloti,MUCC 575; MUCNS 582; MAFF 237872,Cucumis melo,Cucurbitaceae,Japan: Okinawa,K. Uehara,JX143625,JX143384,JX143138,JX142892,JX142646
Cercosporacf.malloti,MUCC 787,Mallotus japonicus,Euphorbiaceae,Japan: Okinawa,C. Nakashima & T. Akashi,JX143626,JX143385,JX143139,JX142893,JX142647
Cercospora mercurialis,CBS 549.71,Mercurialis annua,Euphorbiaceae,Romania: Cheia,O. Constantinescu,JX143627,JX143386,JX143140,JX142894,JX142648
Cercospora mercurialis,CBS 550.71(TYPE),Mercurialis perennis,Euphorbiaceae,Romania: Cheia,O. Constantinescu,JX143628,JX143387,JX143141,JX142895,JX142649
Cercospora mercurialis,CBS 551.71,Mercurialis ovata,Euphorbiaceae,Romania: Hagieni,O. Constantinescu & G. Negrean,JX143629,JX143388,JX143142,JX142896,JX142650
Cercosporacf.modiolae,CPC 5115,Modiola caroliniana,Malvaceae,New Zealand,C.F. Hill,JX143630,JX143389,JX143143,JX142897,JX142651
Cercosporacf.nicotianae,CBS 131.32; CPC 5076,Nicotiana tabacum,Solanaceae,Indonesia: Medan,H. Diddens & A. Jaarsveld,DQ835073,DQ835099,DQ835119,DQ835146,DQ835173
Cercosporacf.nicotianae,CBS 132632; CPC 15918,Glycine max,Fabaceae,Mexico: Tamaulipas,Ma. de Jesús Yáñez-Morales,JX143631,JX143390,JX143144,JX142898,JX142652
Cercosporacf.nicotianae,CBS 570.69; CPC 5075,Nicotiana tabacum,Solanaceae,Nigeria,S.O. Alasoadura,DQ835074,DQ835100,DQ835120,DQ835147,DQ835174
Cercospora olivascens,CBS 253.67; IMI 124975; CPC 5085 (TYPE),Aristolochia clematidis,Aristolochiaceae,Romania: Cazanele Dunarii,O. Constantinescu,JX143632,JX143391,JX143145,JX142899,JX142653
Cercosporacf.physalidis,CBS 765.79,Solanum tuberosum,Solanaceae,Peru,L.J. Turkensteen,JX143633,JX143392,JX143146,JX142900,JX142654
Cercospora pileicola,CBS 132607; CPC 10749 (TYPE),Pilea pumila(=P. mongolica),Urticaceae,South Korea: Dongducheon,H.D. Shin,JX143634,JX143393,JX143147,JX142901,JX142655
Cercospora pileicola,CBS 132647; CPC 10693,Pilea hamaoi(≡P. pumilavar.hamaoi),Urticaceae,South Korea: Hoengseong,H.D. Shin,JX143635,JX143394,JX143148,JX142902,JX142656
Cercospora pileicola,CPC 11369,Pilea pumila(=P. mongolica),Urticaceae,South Korea: Hongcheon,H.D. Shin,JX143636,JX143395,JX143149,JX142903,JX142657
Cercospora polygonacea,CBS 132614; CPC 11318,Persicaria longiseta(≡P. blumei),Polygonaceae,South Korea: Cheongju,H.D. Shin,JX143637,JX143396,JX143150,JX142904,JX142658
Cercospora punctiformis,CBS 132626; CPC 14606,Cynanachum wilfordii,Asclepiadaceae,South Korea: Bonghwa,H.D. Shin,JX143638,JX143397,JX143151,JX142905,JX142659
Cercosporacf.resedae,CBS 118793,Reseda odorata,Resedaceae,New Zealand: Auckland,C.F. Hill,JX143639,JX143398,JX143152,JX142906,JX142660
Cercosporacf.resedae,CBS 257.67; CPC 5057,Helianthemumsp.,Cistaceae,Romania: Bucuresti,O. Constantinescu,DQ233319,DQ233343,DQ233369,DQ233395,DQ233421
Cercosporacf.richardiicola,CBS 132627; CPC 14680,Ajuga multiflora,Lamiaceae,South Korea: Incheon,H.D. Shin,JX143640,JX143399,JX143153,JX142907,JX142661
Cercosporacf.richardiicola,MUCC 128,Tagetes erecta,Asteraceae,Japan: Ehime,J. Nishikawa,JX143641,JX143400,JX143154,JX142908,JX142662
Cercosporacf.richardiicola,MUCC 132,Osteospermumsp.,Asteraceae,Japan: Shizuoka,J. Nishikawa,JX143642,JX143401,JX143155,JX142909,JX142663
Cercosporacf.richardiicola,MUCC 138,Fuchsia×hybrida,Onagraceae,Japan: Shizuoka,J. Nishikawa,JX143643,JX143402,JX143156,JX142910,JX142664
Cercosporacf.richardiicola,MUCC 578; MAFF 238210,Zantedeschiasp.,Araceae,Japan: Ehime,J. Nishikawa,JX143644,JX143403,JX143157,JX142911,JX142665
Cercosporacf.richardiicola,MUCC 582; MAFF 238880,Gerbera hybrida,Asteraceae,Japan: Shizuoka,J. Takeuchi,JX143645,JX143404,JX143158,JX142912,JX142666
Cercospora ricinella,CBS 132605; CPC 10734,Ricinus communis,Euphorbiaceae,South Korea: Chuncheon,H.D. Shin,JX143646,JX143405,JX143159,JX142913,JX142667
Cercospora ricinella,CPC 10104,Ricinus communis,Euphorbiaceae,South Korea: Chuncheon,H.D. Shin,JX143647,JX143406,JX143160,JX142914,JX142668
Cercospora rodmanii,CBS 113123; RC3660; 28-1,Eichhornia crassipes,Pontederiaceae,Brazil: Rio Verde,R. Charudattan,DQ835076,AF146136,DQ835122,DQ835149,DQ835176
Cercospora rodmanii,CBS 113124; RC2867,Eichhornia crassipes,Pontederiaceae,Mexico: Carretero,R. Charudattan,DQ835077,AF146137,DQ835123,DQ835150,DQ835177
Cercospora rodmanii,CBS 113125; RC4101; 400,Eichhornia crassipes,Pontederiaceae,Zambia,M. Morris,DQ835078,AF146146,DQ835124,DQ835151,DQ835178
Cercospora rodmanii,CBS 113126; RC3409; 62-2,Eichhornia crassipes,Pontederiaceae,Brazil: Oroco,R. Charudattan,DQ835079,AF146138,DQ835125,DQ835152,DQ835179
Cercospora rodmanii,CBS 113128; RC394; WH83,Eichhornia crassipes,Pontederiaceae,USA: Florida,R. Charudattan,DQ835080,AF146142,DQ835126,DQ835153,DQ835180
Cercospora rodmanii,CBS 113129; RC397; WH9-BR,Eichhornia crassipes,Pontederiaceae,USA: Florida,K. Conway,DQ835081,AF146143,DQ835127,DQ835154,DQ835181
Cercospora rodmanii,CBS 113130; RC393; WHK,Eichhornia crassipes,Pontederiaceae,USA: Florida,R. Charudattan,DQ835082,AF146144,DQ835128,DQ835155,DQ835182
Cercospora rodmanii,CBS 113131; RC395; WHV,Eichhornia crassipes,Pontederiaceae,Venezuela: Maracay,R. Charudattan,DQ835083,AF146148,DQ835129,DQ835156,DQ835183
Cercospora rumicis,CPC 5439,Rumex sanguineus,Polygonaceae,New Zealand: Manurewa,C.F. Hill,JX143648,JX143407,JX143161,JX142915,JX142669
Cercospora senecioniswalkeri,CBS 132636; CPC 19196,Senecio walkeri,Asteraceae,Laos,P. Phengsintham,JX143649,JX143408,JX143162,JX142916,JX142670
Cercosporacf.sigesbeckiae,CBS 132601; CPC 10664,Sigesbeckia glabrescens,Asteraceae,South Korea: Chuncheon,H.D. Shin,JX143650,JX143409,JX143163,JX142917,JX142671
Cercosporacf.sigesbeckiae,CBS 132606; CPC 10740,Paulownia coreana,Scrophulariaceae,South Korea: Namyangju,H.D. Shin,JX143651,JX143410,JX143164,JX142918,JX142672
Cercosporacf.sigesbeckiae,CBS 132621; CPC 14489,Sigesbeckia pubescens,Asteraceae,South Korea: Yanggu,H.D. Shin,JX143652,JX143411,JX143165,JX142919,JX142673
Cercosporacf.sigesbeckiae,CBS 132641; CPC 10117,Persicaria orientalis(=P. cochinchinensis),Polygonaceae,South Korea: Chuncheon,H.D. Shin,JX143653,JX143412,JX143166,JX142920,JX142674
Cercosporacf.sigesbeckiae,CBS 132642; CPC 10128,Pilea pumila(=P. mongolica),Urticaceae,South Korea: Hongcheon,H.D. Shin,JX143654,JX143413,JX143167,JX142921,JX142675
Cercosporacf.sigesbeckiae,CBS 132675; CPC 14726,Malva verticillata,Malvaceae,South Korea: Yanggu,H.D. Shin,JX143655,JX143414,JX143168,JX142922,JX142676
Cercosporacf.sigesbeckiae,MUCC 587; MUCNS 197; MAFF 237690,Begoniasp.,Begoniaceae,Japan: Chiba,S. Uematsu,JX143656,JX143415,JX143169,JX142923,JX142677
Cercosporacf.sigesbeckiae,MUCC 589; MAFF 305039,Glycine max,Fabaceae,Japan: Saitama,H. Kurata,JX143657,JX143416,JX143170,JX142924,JX142678
Cercosporacf.sigesbeckiae,MUCC 849,Dioscorea tokoro,Dioscoreaceae,Japan: Tokyo,I. Araki,JX143658,JX143417,JX143171,JX142925,JX142679
Cercospora sojina,CBS 132018; CPC 12322,Glycine soja,Fabaceae,South Korea: Hoengseong,H.D. Shin,GU214655,JX143418,JX143172,JX142926,JX142680
Cercospora sojina,CBS 132615; CPC 11353 (TYPE),Glycine soja,Fabaceae,South Korea: Hongcheon,H.D. Shin,JX143659,JX143419,JX143173,JX142927,JX142681
Cercospora sojina,"CBS 132684; CPC 17971; CCC 173-09, 09-495",Glycine max,Fabaceae,Argentina,F. Scandiani,JX143660,JX143420,JX143174,JX142928,JX142682
Cercospora sojina,CPC 11420,Glycine soja,Fabaceae,South Korea: Hongcheon,H.D. Shin,JX143661,JX143421,JX143175,JX142929,JX142683
Cercospora sojina,"CPC 17964; CCC 155-09, 09-285-5",Glycine max,Fabaceae,Argentina,F. Scandiani,JX143662,JX143422,JX143176,JX142930,JX142684
Cercospora sojina,"CPC 17965; CCC 156-09, 09-285-4",Glycine max,Fabaceae,Argentina,F. Scandiani,JX143663,JX143423,JX143177,JX142931,JX142685
Cercospora sojina,"CPC 17966; CCC 157-09, 09-285-3",Glycine max,Fabaceae,Argentina,F. Scandiani,JX143664,JX143424,JX143178,JX142932,JX142686
Cercospora sojina,"CPC 17967; CCC 158-09, 09-285-1",Glycine max,Fabaceae,Argentina,F. Scandiani,JX143665,JX143425,JX143179,JX142933,JX142687
Cercospora sojina,"CPC 17968; CCC 159-09, 09-285-7",Glycine max,Fabaceae,Argentina,F. Scandiani,JX143666,JX143426,JX143180,JX142934,JX142688
Cercospora sojina,"CPC 17969; CCC 167-09, 09-881",Glycine max,Fabaceae,Argentina,N. Formento,JX143667,JX143427,JX143181,JX142935,JX142689
Cercospora sojina,"CPC 17970; CCC 172-09, 09-320",Glycine max,Fabaceae,Argentina,F. Scandiani,JX143668,JX143428,JX143182,JX142936,JX142690
Cercospora sojina,"CPC 17972; CCC 174-09,",Glycine max,Fabaceae,Argentina,S. Piubello,JX143669,JX143429,JX143183,JX142937,JX142691
Cercospora sojina,"CPC 17973; CCC 176-09, 09-882",Glycine max,Fabaceae,Argentina,N. Formento,JX143670,JX143430,JX143184,JX142938,JX142692
Cercospora sojina,"CPC 17974; CCC 177-09, 09-2488-1",Glycine max,Fabaceae,Argentina,F. Scandiani,JX143671,JX143431,JX143185,JX142939,JX142693
Cercospora sojina,"CPC 17975; CCC 178-09, 09-1438-2",Glycine max,Fabaceae,Argentina,F. Scandiani,JX143672,JX143432,JX143186,JX142940,JX142694
Cercospora sojina,"CPC 17976; CCC 179-09, 09-2591",Glycine max,Fabaceae,Argentina,F. Scandiani,JX143673,JX143433,JX143187,JX142941,JX142695
Cercospora sojina,"CPC 17977; CCC 180-09, 09-2520",Glycine max,Fabaceae,Argentina,F. Scandiani,JX143674,JX143434,JX143188,JX142942,JX142696
Cercosporasp. A,CBS 132631; CPC 15872,Chenopodiumsp.,Chenopodiaceae,Mexico,Ma. de Jesús Yáñez-Morales,JX143675,JX143435,JX143189,JX142943,JX142697
Cercosporasp. B,CBS 132602; CPC 10687,Ipomoea purpurea,Convolvulaceae,South Korea: Kangnung,H.D. Shin,JX143676,JX143436,JX143190,JX142944,JX142698
Cercosporasp. C,CBS 132629; CPC 15841,–,Compositae,Mexico: Montecillo,Ma. de Jesús Yáñez-Morales,JX143677,JX143437,JX143191,JX142945,JX142699
Cercosporasp. D,CBS 132630; CPC 15856,–,–,Mexico,Ma. de Jesús Yáñez-Morales,JX143678,JX143438,JX143192,JX142946,JX142700
Cercosporasp. E,CBS 132628; CPC 15632,Unidentified wild plant,–,Mexico: Montecillo,Ma. de Jesús Yáñez-Morales,JX143679,JX143439,JX143193,JX142947,JX142701
Cercosporasp. E,CPC 15801,Unidentified wild plant,–,Mexico: Montecillo,Ma. de Jesús Yáñez-Morales,JX143680,JX143440,JX143194,JX142948,JX142702
Cercosporasp. F,CBS 132618; CPC 12062,Zea mays,Poaceae,South Africa,P. Caldwell,DQ185071,DQ185083,DQ185095,DQ185107,DQ185119
Cercosporasp. G,CBS 115518; CPC 5360,Bidens frondosa,Asteraceae,New Zealand: Kopuku,C.F. Hill,JX143681,JX143441,JX143195,JX142949,JX142703
Cercosporasp. G,CPC 5438,Salvia viscosa,Lamiaceae,New Zealand: Manurewa,C.F. Hill,JX143682,JX143442,JX143196,JX142950,JX142704
Cercosporasp. H,CBS 115205; CPC 5116,Dichondra repens,Convolvulaceae,New Zealand,C.F. Hill,JX143683,JX143443,JX143197,JX142951,JX142705
Cercosporasp. H,CPC 11620,Chamelaucium uncinatum,Myrtaceae,Argentina,S. Wolcan,JX143684,JX143444,JX143198,JX142952,JX142706
Cercosporasp. I,CBS 114815; CPC 5364,Deutzia purpurascens,Hydrangeaceae,New Zealand: Manurewa,C.F. Hill,JX143685,JX143445,JX143199,JX142953,JX142707
Cercosporasp. I,CBS 114816; CPC 5363,Deutzia×rosea(=D. gracilis×purpurascens),Hydrangeaceae,New Zealand: Manurewa,C.F. Hill,JX143686,JX143446,JX143200,JX142954,JX142708
Cercosporasp. I,CBS 114817; CPC 5365,Fuchsia procumbens,Onagraceae,New Zealand: Manurewa,C.F. Hill,JX143687,JX143447,JX143201,JX142955,JX142709
Cercosporasp. I,CBS 114818; CPC 5362,Deutzia crenata,Hydrangeaceae,New Zealand: Manurewa,C.F. Hill,JX143688,JX143448,JX143202,JX142956,JX142710
Cercosporasp. I,CBS 115117,Archontophoenix cunninghamiana,Arecaceae (Palmae),New Zealand: Whangarei,C.F. Hill,JX143689,JX143449,JX143203,JX142957,JX142711
Cercosporasp. I,CBS 115121,Gunnera tinctoria,Gunneraceae,New Zealand: Mt Albert,C.F. Hill,JX143690,JX143450,JX143204,JX142958,JX142712
Cercosporasp. I,CBS 132597; CPC 10615,Coreopsis verticillata,Asteraceae,New Zealand: Manurewa,C.F. Hill,JX143691,JX143451,JX143205,JX142959,JX142713
Cercosporasp. I,CBS 132643; CPC 10138,Ajuga multiflora,Lamiaceae,South Korea: Suwon,H.D. Shin,JX143692,JX143452,JX143206,JX142960,JX142714
Cercosporasp. I,CPC 10616,Coreopsis verticillata,Asteraceae,New Zealand: Manurewa,C.F. Hill,JX143693,JX143453,JX143207,JX142961,JX142715
Cercosporasp. I,CPC 5440,Nicotianasp.,Solanaceae,New Zealand: Manurewa,C.F. Hill,JX143694,JX143454,JX143208,JX142962,JX142716
Cercosporasp. J,MUCC 541,Antirrhinum majus,Plantaginaceae,Japan: Aichi,M.Matsusaki,JX143695,JX143455,JX143209,JX142963,JX142717
Cercosporasp. K,CBS 132603; CPC 10719,Ipomoea coccinea(≡Quamoclit coccinea),Convolvulaceae,South Korea: Namyangju,H.D. Shin,JX143696,JX143456,JX143210,JX142964,JX142718
Cercosporasp. K,CPC 10094,Ipomoea coccinea(≡Quamoclit coccinea),Convolvulaceae,South Korea: Namyangju,H.D. Shin,JX143697,JX143457,JX143211,JX142965,JX142719
Cercosporasp. K,CPC 12391,Ipomoea coccinea(≡Quamoclit coccinea),Convolvulaceae,South Korea: Namyangju,H.D. Shin,JX143698,JX143458,JX143212,JX142966,JX142720
Cercosporasp. L,CBS 115477; CPC 5114,Crepis capillaris,Asteraceae,New Zealand,C.F. Hill,JX143699,JX143459,JX143213,JX142967,JX142721
Cercosporasp. M,CBS 132596; CPC 10553,Acacia mangium,Fabaceae,Thailand: Sanamchaikhet,K. Pongpanich,JX143700,AY752175,AY752203,AY752234,AY752265
Cercosporasp. N,CBS 132619; CPC 12684,Musasp.,Musaceae,Bangladesh: Western,I. Buddenhagen,EU514224,JX143460,JX143214,JX142968,JX142722
Cercosporasp. O,CBS 132635; CPC 18636,Musasp.,Musaceae,Thailand: Mae Klang Loung,P.W. Crous,JX143701,JX143461,JX143215,JX142969,JX142723
Cercosporasp. P,CBS 112649; CPC 3946,"Citrussp., leaf spot",Rutaceae,Swaziland,M.C. Pretorius,AY260072,DQ835090,DQ835109,DQ835136,DQ835163
Cercosporasp. P,CBS 112722; CPC 3947,"Citrussp., leaf spot",Rutaceae,Swaziland,M.C. Pretorius,AY260073,DQ835091,DQ835110,DQ835137,DQ835164
Cercosporasp. P,CBS 112728; CPC 3949,Citrus×sinensis(≡C. aurantiumvar.sinensis),Rutaceae,South Africa: Komatipoort,M.C. Pretorius,AY260076,DQ835092,DQ835111,DQ835138,DQ835165
Cercosporasp. P,CBS 112730; CPC 3948,Citrus×sinensis(≡C. aurantiumvar.sinensis),Rutaceae,South Africa: Komatipoort,M.C. Pretorius,AY260075,DQ835093,DQ835112,DQ835139,DQ835166
Cercosporasp. P,CBS 112894; CPC 3950,Citrus×sinensis(≡C. aurantiumvar.sinensis),Rutaceae,South Africa: Komatipoort,M.C. Pretorius,AY260077,DQ835094,DQ835113,DQ835140,DQ835167
Cercosporasp. P,CBS 113996; CPC 5326,Cajanus cajan,Fabaceae,South Africa: Nelspruit,L. van Jaarsveld,JX143702,JX143462,JX143216,JX142970,JX142724
Cercosporasp. P,CBS 115413; CPC 5328,Cajanus cajan,Fabaceae,South Africa: Nelspruit,L. van Jaarsveld,JX143703,JX143463,JX143217,JX142971,JX142725
Cercosporasp. P,CBS 115609; CPC 3945,"Citrussp., leaf spot",Rutaceae,Swaziland,M.C. Pretorius,AY260074,DQ835096,DQ835115,DQ835142,DQ835169
Cercosporasp. P,CBS 116365; CPC 10526 (TYPE),Acacia mangium,Fabaceae,Thailand,M.J. Wingfield,AY752141,AY752176,AY752204,AY752235,AY752266
Cercosporasp. P,CBS 132645; CPC 10527,Acacia mangium,Fabaceae,Thailand,M.J. Wingfield,AY752142,AY752177,AY752205,AY752236,AY752267
Cercosporasp. P,CBS 132660; CPC 11629; GHA-4-0,Dioscorea rotundata,Dioscoreaceae,Ghana,S. Nyako & A.O. Danquah,JX143704,JX143464,JX143218,JX142972,JX142726
Cercosporasp. P,CBS 132662; CPC 11635; PNG-009,Dioscorea nummularia,Dioscoreaceae,Papua New Guinea,J. Peters & A.N. Jama,JX143705,JX143465,JX143219,JX142973,JX142727
Cercosporasp. P,CBS 132664; CPC 11637; PNG-022,Dioscorea rotundata,Dioscoreaceae,Papua New Guinea,J. Peters & A.N. Jama,JX143706,JX143466,JX143220,JX142974,JX142728
Cercosporasp. P,CBS 132665; CPC 11638; PNG-023,Dioscorea bulbifera,Dioscoreaceae,Papua New Guinea,J. Peters & A.N. Jama,JX143707,JX143467,JX143221,JX142975,JX142729
Cercosporasp. P,CBS 132680; CPC 15827,Ricinus communis,Euphorbiaceae,Mexico: Tamaulipas,Ma. de Jesús Yáñez-Morales,JX143708,JX143468,JX143222,JX142976,JX142730
Cercosporasp. P,CPC 10552,Acacia mangium,Fabaceae,Thailand,K. Pongpanich,JX143709,AY752174,AY752202,AY752233,AY752264
Cercosporasp. P,CPC 11630; GHA-4-3,Dioscorea rotundata,Dioscoreaceae,Ghana,S. Nyako & A.O. Danquah,JX143710,JX143469,JX143223,JX142977,JX142731
Cercosporasp. P,CPC 11631; GHA-5-0,Dioscorea rotundata,Dioscoreaceae,Ghana,S. Nyako & A.O. Danquah,JX143711,JX143470,JX143224,JX142978,JX142732
Cercosporasp. P,CPC 11632; GHA-7-4,Dioscorea rotundata,Dioscoreaceae,Ghana,S. Nyako & A.O. Danquah,JX143712,JX143471,JX143225,JX142979,JX142733
Cercosporasp. P,CPC 11633; GHA-8-4,Dioscorea rotundata,Dioscoreaceae,Ghana,S. Nyako & A.O. Danquah,JX143713,JX143472,JX143226,JX142980,JX142734
Cercosporasp. P,CPC 4001,Citrus×sinensis(≡C. aurantiumvar.sinensis),Rutaceae,Swaziland,M.C. Pretorius,AY343372,AY343335,DQ835116,DQ835143,DQ835170
Cercosporasp. P,CPC 4002,Citrus×sinensis(≡C. aurantiumvar.sinensis),Rutaceae,Swaziland,M.C. Pretorius,DQ835072,DQ835097,DQ835117,DQ835144,DQ835171
Cercosporasp. P,CPC 5262,Hibiscus sabdariffa,Malvaceae,New Zealand: Auckland (imported from Fiji),C.F. Hill,JX143714,JX143473,JX143227,JX142981,JX142735
Cercosporasp. P,CPC 5327,Cajanus cajan,Fabaceae,South Africa: Nelspruit,L. van Jaarsveld,JX143715,JX143474,JX143228,JX142982,JX142736
Cercosporasp. P,MUCC 771,Coffea arabica,Rubiaceae,Japan: Okinawa,C. Nakashima,JX143716,JX143475,JX143229,JX142983,JX142737
Cercosporasp. Q,CBS 113997; CPC 5325,Cajanus cajan,Fabaceae,South Africa: Nelspruit,L. van Jaarsveld,JX143717,JX143476,JX143230,JX142984,JX142738
Cercosporasp. Q,CBS 115410; CPC 5331,Cajanus cajan,Fabaceae,South Africa: Nelspruit,L. van Jaarsveld,JX143718,JX143477,JX143231,JX142985,JX142739
Cercosporasp. Q,CBS 115411; CPC 5332,Cajanus cajan,Fabaceae,South Africa: Nelspruit,L. van Jaarsveld,JX143719,JX143478,JX143232,JX142986,JX142740
Cercosporasp. Q,CBS 115412; CPC 5333,Cajanus cajan,Fabaceae,South Africa: Nelspruit,L. van Jaarsveld,JX143720,JX143479,JX143233,JX142987,JX142741
Cercosporasp. Q,CBS 115536; CPC 5329,Cajanus cajan,Fabaceae,South Africa: Nelspruit,L. van Jaarsveld,JX143721,JX143480,JX143234,JX142988,JX142742
Cercosporasp. Q,CBS 115537; CPC 5330,Cajanus cajan,Fabaceae,South Africa: Nelspruit,L. van Jaarsveld,JX143722,JX143481,JX143235,JX142989,JX142743
Cercosporasp. Q,CBS 132656; CPC 11536,Acacia mangium,Fabaceae,Thailand,K. Pongpanich,JX143723,JX143482,JX143236,JX142990,JX142744
Cercosporasp. Q,CBS 132661; CPC 11634; PNG-002,Dioscorea rotundata,Dioscoreaceae,Papua New Guinea,J. Peters & A.N. Jama,JX143724,JX143483,JX143237,JX142991,JX142745
Cercosporasp. Q,CBS 132663; CPC 11636; PNG-016,Dioscorea esculenta,Dioscoreaceae,Papua New Guinea,J. Peters & A.N. Jama,JX143725,JX143484,JX143238,JX142992,JX142746
Cercosporasp. Q,CBS 132679; CPC 15807,Phaseolus vulgaris,Fabaceae,Mexico,Ma. de Jesús Yáñez-Morales,JX143726,JX143485,JX143239,JX142993,JX142747
Cercosporasp. Q,CBS 132681; CPC 15844,Euphorbiasp.,Euphorbiaceae,Mexico: Tamaulipas,Ma. de Jesús Yáñez-Morales,JX143727,JX143486,JX143240,JX142994,JX142748
Cercosporasp. Q,CBS 132682; CPC 15850,Taraxacumsp.,Asteraceae,Mexico: Tamaulipas,Ma. de Jesús Yáñez-Morales,JX143728,JX143487,JX143241,JX142995,JX142749
Cercosporasp. Q,CPC 10550,Acacia mangium,Fabaceae,Thailand,K. Pongpanich,AY752139,AY752172,AY752200,AY752231,AY752262
Cercosporasp. Q,CPC 10551,Acacia mangium,Fabaceae,Thailand,K. Pongpanich,AY752140,AY752173,AY752201,AY752232,AY752263
Cercosporasp. Q,CPC 11539,Acacia mangium,Fabaceae,Thailand,K. Pongpanich,JX143729,JX143488,JX143242,JX142996,JX142750
Cercosporasp. Q,CPC 11639; PNG-037,Dioscorea rotundata,Dioscoreaceae,Papua New Guinea,J. Peters & A.N. Jama,JX143730,JX143489,JX143243,JX142997,JX142751
Cercosporasp. Q,CPC 15875,Euphorbiasp.,Euphorbiaceae,Mexico: Tamaulipas,Ma. de Jesús Yáñez-Morales,JX143731,JX143490,JX143244,JX142998,JX142752
Cercosporasp. R,CBS 114644,Myoporum laetum,Myoporaceae,New Zealand: Grey Lynn,C.F. Hill,JX143732,JX143491,JX143245,JX142999,JX142753
